t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
1.29,0,0,0,0.0965702783,0.0965702783,-0.4809868633,0.1645920928,0.1645920928,-0.4536726639
1.3,0,0,0,0.0962119369,0.0962119369,-0.4811304671,0.1642540601,0.1642540601,-0.4539176219
1.31,0,0,0,0.0958124364,0.0958124364,-0.4812898857,0.1638771048,0.1638771048,-0.4541900363
1.32,0,0,0,0.0953886706,0.0953886706,-0.4814582049,0.1634771429,0.1634771429,-0.4544782146
1.33,0,0,0,0.0949591137,0.0949591137,-0.4816280032,0.1630715992,0.1630715992,-0.4547695099
1.34,0,0,0,0.0945431655,0.0945431655,-0.4817916351,0.162678792,0.162678792,-0.4550507898
1.35,0,0,0,0.0941604576,0.0941604576,-0.4819415073,0.1623172792,0.1623172792,-0.4553089081
1.36,0,0,0,0.093830148,0.093830148,-0.4820703337,0.1620051884,0.1620051884,-0.4555311602
1.37,0,0,0,0.093570228,0.093570228,-0.4821713646,0.1617595563,0.1617595563,-0.4557057076
1.38,0,0,0,0.0933968671,0.0933968671,-0.4822385825,0.1615957014,0.1615957014,-0.4558219593
1.39,0,0,0,0.0933238198,0.0933238198,-0.4822668652,0.161526654,0.161526654,-0.4558709029
1.4,0,0,0,0.0933619175,0.0933619175,-0.4822521174,0.161562666,0.161562666,-0.4558453794
1.41,0,0,0,0.0935186636,0.0935186636,-0.4821913719,0.1617108214,0.1617108214,-0.4557402994
1.42,0,0,0,0.0937979492,0.0937979492,-0.4820828658,0.1619747619,0.1619747619,-0.4555527994
1.43,0,0,0,0.0941998977,0.0941998977,-0.4819260924,0.1623545393,0.1623545393,-0.4552823378
1.44,0,0,0,0.0947208479,0.0947208479,-0.4817218305,0.1628466025,0.1628466025,-0.4549307289
1.45,0,0,0,0.0953534725,0.0953534725,-0.4814721493,0.1634439168,0.1634439168,-0.4545021145
1.46,0,0,0,0.0960870305,0.0960870305,-0.4811803873,0.1641362135,0.1641362135,-0.454002871
1.47,0,0,0,0.0969077423,0.0969077423,-0.4808510985,0.1649103568,0.1649103568,-0.4534414498
1.48,0,0,0,0.097799273,0.097799273,-0.4804899629,0.1657508152,0.1657508152,-0.4528281512
1.49,0,0,0,0.0987433058,0.0987433058,-0.4801036546,0.1666402158,0.1666402158,-0.4521748301
1.5,0,0,0,0.0997201838,0.0997201838,-0.4796996663,0.1675599612,0.1675599612,-0.451494539
1.51,0,0,0,0.1007095956,0.1007095956,-0.4792860886,0.1684908843,0.1684908843,-0.4508011134
1.52,0,0,0,0.1016912793,0.1016912793,-0.4788713475,0.1694139147,0.1694139147,-0.4501087102
1.53,0,0,0,0.10264572,0.10264572,-0.4784639091,0.170310735,0.170310735,-0.4494313152
1.54,0,0,0,0.1035548157,0.1035548157,-0.4780719614,0.1711644009,0.1711644009,-0.4487822364
1.55,0,0,0,0.1044024876,0.1044024876,-0.4777030889,0.1719599063,0.1719599063,-0.4481736061
1.56,0,0,0,0.105175216,0.105175216,-0.4773639574,0.1726846743,0.1726846743,-0.4476159141
1.57,0,0,0,0.1058624833,0.1058624833,-0.4770600269,0.1733289593,0.1733289593,-0.447117595
1.58,0,0,0,0.1064571095,0.1064571095,-0.47679531,0.1738861489,0.1738861489,-0.4466846924
1.59,0,0,0,0.106955472,0.106955472,-0.4765721918,0.1743529577,0.1743529577,-0.446320616
1.6,0,0,0,0.1073576008,0.1073576008,-0.4763913214,0.1747295076,0.1747295076,-0.4460260064
1.61,0,0,0,0.1076671483,0.1076671483,-0.476251583,0.1750192931,0.1750192931,-0.4457987148
1.62,0,0,0,0.107891235,0.107891235,-0.4761501473,0.1752290346,0.1752290346,-0.4456338978
1.63,0,0,0,0.1080401748,0.1080401748,-0.4760825992,0.1753684216,0.1753684216,-0.4455242231
1.64,0,0,0,0.1081270905,0.1081270905,-0.4760431331,0.175449756,0.175449756,-0.4454601736
1.65,0,0,0,0.1081674307,0.1081674307,-0.4760248039,0.175487504,0.175487504,-0.4454304344
1.66,0,0,0,0.1081784039,0.1081784039,-0.4760198166,0.175497772,0.175497772,-0.4454223434
1.67,0,0,0,0.1081783495,0.1081783495,-0.4760198414,0.175497721,0.175497721,-0.4454223836
1.68,0,0,0,0.1081860645,0.1081860645,-0.4760163347,0.1755049402,0.1755049402,-0.4454166948
1.69,0,0,0,0.1082201128,0.1082201128,-0.4760008554,0.1755367993,0.1755367993,-0.4453915852
1.7,0,0,0,0.1082981376,0.1082981376,-0.475965363,0.1756098048,0.1756098048,-0.445334024
1.71,0,0,0,0.1084362052,0.1084362052,-0.4759024888,0.1757389806,0.1757389806,-0.4452320983
1.72,0,0,0,0.1086482014,0.1086482014,-0.4758057762,0.1759372996,0.1759372996,-0.4450754242
1.73,0,0,0,0.1089453058,0.1089453058,-0.4756698862,0.1762151863,0.1762151863,-0.4448555004
1.74,0,0,0,0.1093355624,0.1093355624,-0.4754907671,0.1765801116,0.1765801116,-0.4445660001
1.75,0,0,0,0.1098235634,0.1098235634,-0.4752657887,0.1770362958,0.1770362958,-0.4442029941
1.76,0,0,0,0.110410259,0.110410259,-0.4749938415,0.1775845322,0.1775845322,-0.4437651043
1.77,0,0,0,0.1110929006,0.1110929006,-0.4746753995,0.1782221394,0.1782221394,-0.4432535821
1.78,0,0,0,0.1118651192,0.1118651192,-0.4743125449,0.1789430425,0.1789430425,-0.4426723111
1.79,0,0,0,0.1127171362,0.1127171362,-0.4739089516,0.1797379828,0.1797379828,-0.4420277311
1.8,0,0,0,0.1136360986,0.1136360986,-0.473469824,0.1805948432,0.1805948432,-0.4413286816
1.81,0,0,0,0.114606525,0.114606525,-0.4730017852,0.181499079,0.181499079,-0.4405861648
1.82,0,0,0,0.1156108453,0.1156108453,-0.472512714,0.1824342341,0.1824342341,-0.439813029
1.83,0,0,0,0.1166300122,0.1166300122,-0.4720115258,0.1833825223,0.1833825223,-0.4390235768
1.84,0,0,0,0.1176441635,0.1176441635,-0.4715079019,0.1843254505,0.1843254505,-0.4382331076
1.85,0,0,0,0.1186333078,0.1186333078,-0.4710119707,0.1852444595,0.1852444595,-0.4374574041
1.86,0,0,0,0.1195780102,0.1195780102,-0.4705339509,0.1861215597,0.1861215597,-0.4367121821
1.87,0,0,0,0.1204600531,0.1204600531,-0.4700837704,0.1869399375,0.1869399375,-0.4360125223
1.88,0,0,0,0.1212630497,0.1212630497,-0.4696706778,0.1876845139,0.1876845139,-0.4353723079
1.89,0,0,0,0.1219729891,0.1219729891,-0.4693028658,0.1883424369,0.1883424369,-0.4348036947
1.9,0,0,0,0.1225786969,0.1225786969,-0.4689871279,0.1889034926,0.1889034926,-0.4343166368
1.91,0,0,0,0.1230721949,0.1230721949,-0.4687285672,0.1893604246,0.1893604246,-0.4339184937
1.92,0,0,0,0.1234489522,0.1234489522,-0.4685303751,0.1897091533,0.1897091533,-0.4336137386
1.93,0,0,0,0.1237080177,0.1237080177,-0.4683936941,0.1899488892,0.1899488892,-0.4334037828
1.94,0,0,0,0.1238520325,0.1238520325,-0.4683175718,0.1900821387,0.1900821387,-0.433286927
1.95,0,0,0,0.1238871213,0.1238871213,-0.4682990095,0.1901146024,0.1901146024,-0.4332584401
1.96,0,0,0,0.1238226664,0.1238226664,-0.4683331022,0.1900549689,0.1900549689,-0.4333107633
1.97,0,0,0,0.1236709712,0.1236709712,-0.4684132596,0.1899146097,0.1899146097,-0.4334338266
1.98,0,0,0,0.123446824,0.123446824,-0.4685314966,0.1897071837,0.1897071837,-0.4336154621
1.99,0,0,0,0.1231669744,0.1231669744,-0.4686787736,0.1894481622,0.1894481622,-0.4338418925
2,0,0,0,0.1228495406,0.1228495406,-0.4688453698,0.1891542886,0.1891542886,-0.4340982725
2.01,0,0,0,0.1225133653,0.1225133653,-0.4690212689,0.1888429892,0.1888429892,-0.4343692563
2.02,0,0,0,0.1221773434,0.1221773434,-0.4691965404,0.1885317545,0.1885317545,-0.4346395692
2.03,0,0,0,0.1218597437,0.1218597437,-0.4693617003,0.1882375119,0.1882375119,-0.4348945599
2.04,0,0,0,0.1215775496,0.1215775496,-0.4695080392,0.1879760133,0.1879760133,-0.4351207153
2.05,0,0,0,0.1213458428,0.1213458428,-0.4696279089,0.1877612586,0.1877612586,-0.4353061216
2.06,0,0,0,0.1211772533,0.1211772533,-0.4697149631,0.1876049804,0.1876049804,-0.4354408601
2.07,0,0,0,0.1210814958,0.1210814958,-0.4697643481,0.187516207,0.187516207,-0.4355173294
2.08,0,0,0,0.1210650129,0.1210650129,-0.4697728444,0.1875009256,0.1875009256,-0.4355304878
2.09,0,0,0,0.1211307356,0.1211307356,-0.4697389592,0.1875618563,0.1875618563,-0.4354780134
2.1,0,0,0,0.1212779743,0.1212779743,-0.4696629705,0.1876983486,0.1876983486,-0.4353603793
2.11,0,0,0,0.1215024419,0.1215024419,-0.4695469233,0.1879064046,0.1879064046,-0.4351808431
2.12,0,0,0,0.1217964092,0.1217964092,-0.4693945775,0.188178827,0.188178827,-0.4349453507
2.13,0,0,0,0.1221489868,0.1221489868,-0.4692113064,0.1885054861,0.1885054861,-0.4346623556
2.14,0,0,0,0.122546521,0.122546521,-0.4690039449,0.188873695,0.188873695,-0.4343425545
2.15,0,0,0,0.1229730899,0.1229730899,-0.4687805865,0.1892686762,0.1892686762,-0.4339985442
2.16,0,0,0,0.1234110787,0.1234110787,-0.4685503295,0.1896741018,0.1896741018,-0.4336444053
2.17,0,0,0,0.1238418139,0.1238418139,-0.4683229764,0.1900726844,0.1900726844,-0.4332952219
2.18,0,0,0,0.1242462311,0.1242462311,-0.4681086926,0.1904467973,0.1904467973,-0.4329665516
2.19,0,0,0,0.1246055538,0.1246055538,-0.4679176337,0.1907791002,0.1907791002,-0.4326738609
2.2,0,0,0,0.1249019575,0.1249019575,-0.4677595558,0.1910531482,0.1910531482,-0.4324319474
2.21,0,0,0,0.1251191971,0.1251191971,-0.4676434251,0.1912539645,0.1912539645,-0.432254372
2.22,0,0,0,0.1252431769,0.1252431769,-0.4675770453,0.1913685568,0.1913685568,-0.4321529254
2.23,0,0,0,0.125262444,0.125262444,-0.4675667228,0.1913863641,0.1913863641,-0.4321371533
2.24,0,0,0,0.1251685904,0.1251685904,-0.4676169885,0.1912996191,0.1912996191,-0.4322139649
2.25,0,0,0,0.1249565506,0.1249565506,-0.4677303934,0.1911036172,0.1911036172,-0.4323873437
2.26,0,0,0,0.1246247875,0.1246247875,-0.467907389,0.190796885,0.190796885,-0.4326581761
2.27,0,0,0,0.124175358,0.124175358,-0.4681463029,0.1903812431,0.1903812431,-0.4330242078
2.28,0,0,0,0.12361386,0.12361386,-0.4684434088,0.1898617622,0.1898617622,-0.4334801293
2.29,0,0,0,0.1229492581,0.1229492581,-0.4687930885,0.1892466125,0.1892466125,-0.4340177869
2.3,0,0,0,0.1221935958,0.1221935958,-0.4691880756,0.1885468098,0.1885468098,-0.4346265075
2.31,0,0,0,0.1213616013,0.1213616013,-0.4696197648,0.1877758654,0.1877758654,-0.4352935202
2.32,0,0,0,0.1204701982,0.1204701982,-0.4700785708,0.1869493472,0.1869493472,-0.4360044531
2.33,0,0,0,0.1195379373,0.1195379373,-0.4705543147,0.1860843667,0.1860843667,-0.4367438803
2.34,0,0,0,0.1185843676,0.1185843676,-0.471036618,0.185199005,0.185199005,-0.4374958938
2.35,0,0,0,0.117629367,0.117629367,-0.471515285,0.1843116981,0.1843116981,-0.4382446758
2.36,0,0,0,0.1166924567,0.1166924567,-0.4719806576,0.1834406014,0.1834406014,-0.4389750466
2.37,0,0,0,0.115792123,0.115792123,-0.4724239288,0.1826029557,0.1826029557,-0.4396729706
2.38,0,0,0,0.1149451728,0.1149451728,-0.4728374081,0.1818144803,0.1818144803,-0.4403260036
2.39,0,0,0,0.1141661451,0.1141661451,-0.473214732,0.1810888143,0.1810888143,-0.4409236699
2.4,0,0,0,0.1134668031,0.1134668031,-0.4735510207,0.1804370307,0.1804370307,-0.4414577623
2.41,0,0,0,0.1128557247,0.1128557247,-0.4738429811,0.1798672418,0.1798672418,-0.4419225618
2.42,0,0,0,0.1123380095,0.1123380095,-0.4740889613,0.1793843134,0.1793843134,-0.442314974
2.43,0,0,0,0.1119151116,0.1119151116,-0.4742889579,0.1789896993,0.1789896993,-0.4426345841
2.44,0,0,0,0.1115848072,0.1115848072,-0.4744445822,0.1786814035,0.1786814035,-0.4428836327
2.45,0,0,0,0.111341296,0.111341296,-0.4745589864,0.1784540715,0.1784540715,-0.4430669123
2.46,0,0,0,0.1111754344,0.1111754344,-0.4746367512,0.1782992074,0.1782992074,-0.4431915898
2.47,0,0,0,0.1110750894,0.1110750894,-0.4746837358,0.1782055071,0.1782055071,-0.4432669562
2.48,0,0,0,0.1110256017,0.1110256017,-0.4747068901,0.1781592939,0.1781592939,-0.4433041078
2.49,0,0,0,0.1110103373,0.1110103373,-0.4747140297,0.1781450392,0.1781450392,-0.4433155648
2.5,0,0,0,0.1110113091,0.1110113091,-0.4747135752,0.1781459468,0.1781459468,-0.4433148354
2.51,0,0,0,0.1110098444,0.1110098444,-0.4747142602,0.1781445789,0.1781445789,-0.4433159347
2.52,0,0,0,0.1109872732,0.1109872732,-0.4747248154,0.1781235004,0.1781235004,-0.443332874
2.53,0,0,0,0.1109256132,0.1109256132,-0.4747536379,0.1780659166,0.1780659166,-0.4433791365
2.54,0,0,0,0.1108082284,0.1108082284,-0.4748084593,0.1779562847,0.1779562847,-0.4434671594
2.55,0,0,0,0.1106204366,0.1106204366,-0.4748960287,0.177780877,0.177780877,-0.4436078443
2.56,0,0,0,0.1103500474,0.1103500474,-0.4750218248,0.1775282781,0.1775282781,-0.4438101181
2.57,0,0,0,0.1099878132,0.1099878132,-0.4751898167,0.1771898016,0.1771898016,-0.4440805653
